Site ,Plot,Location,Cover_1,Cover_2,Cover_3,Cover_4,avg,Can_Cov,
DAV,1,15,68,68,71,81,72.00,74.88,
DAV,1,30,63,54,68,70,63.75,66.30,
DAV,2,0,80,64,44,64,63.00,65.52,
DAV,2,15,53,34,69,76,58.00,60.32,
DAV,2,30,87,74,70,70,75.25,78.26,
DAV,3,0,73,50,83,64,67.50,70.20,
DAV,3,15,63,71,44,63,60.25,62.66,
DAV,3,30,80,91,81,68,80.00,83.20,
HDS1,1,0,75,54,64,40,58.25,60.58,
HDS1,1,15,68,72,64,40,61.00,63.44,
HDS1,1,30,76,80,80,64,75.00,78.00,
HDS1,2,0,64,40,32,28,41.00,42.64,
HDS1,2,15,60,35,64,44,50.75,52.78,
HDS1,2,30,75,68,72,70,71.25,74.10,
HDS1,3,0,50,70,64,49,58.25,60.58,
HDS1,3,15,52,44,60,44,50.00,52.00,
HDS1,3,30,36,48,64,48,49.00,50.96,
HDS2,1,0,84,88,88,90,87.50,91.00,
HDS2,1,15,60,60,84,68,68.00,70.72,
HDS2,1,30,78,74,80,88,80.00,83.20,
HDS2,2,0,64,64,60,56,61.00,63.44,
HDS2,2,15,88,76,68,80,78.00,81.12,
HDS2,2,30,56,72,32,81,60.25,62.66,
HDS2,3,0,68,68,76,76,72.00,74.88,
HDS2,3,15,72,84,76,72,76.00,79.04,
HDS2,3,30,60,72,72,76,70.00,72.80,
LDS1,1,0,72,60,52,52,59.00,61.36,
LDS1,1,15,52,60,60,40,53.00,55.12,
LDS1,1,30,24,28,72,52,44.00,45.76,
LDS1,2,0,4,12,44,4,16.00,16.64,
LDS1,2,15,20,64,80,76,60.00,62.40,
LDS1,2,30,8,52,76,32,42.00,43.68,
LDS1,3,0,5,12,16,50,20.75,21.58,
LDS1,3,15,60,8,12,76,39.00,40.56,
LDS1,3,30,6,52,52,56,41.50,43.16,
LDS2,1,0,12,40,32,48,33.00,34.32,
LDS2,1,15,24,88,16,16,36.00,37.44,
LDS2,1,30,48,32,4,64,37.00,38.48,
LDS2,2,0,12,36,84,64,49.00,50.96,
LDS2,2,15,32,28,72,60,48.00,49.92,
LDS2,2,30,48,26,64,52,47.50,49.40,
LDS2,3,0,40,18,8,50,29.00,30.16,
LDS2,3,15,48,65,8,4,31.25,32.50,
LDS2,3,30,68,60,24,16,42.00,43.68,
LDS3,1,0,0,5,5,10,5.00,5.20,
LDS3,1,15,0,0,5,0,1.25,1.30,
LDS3,1,30,0,0,0,0,0.00,0.00,
LDS3,2,0,25,25,20,10,20.00,20.80,
LDS3,2,15,0,0,10,0,2.50,2.60,
LDS3,2,30,25,15,15,25,20.00,20.80,
LDS3,3,0,5,10,8,0,5.75,5.98,
LDS3,3,15,0,0,0,10,2.50,2.60,
LDS3,3,30,5,10,15,20,12.50,13.00,
MDS1,1,0,80,72,68,68,72.00,74.88,
MDS1,1,15,76,52,76,84,72.00,74.88,
MDS1,1,30,20,74,52,36,45.50,47.32,
MDS1,2,0,52,36,56,80,56.00,58.24,
MDS1,2,15,64,88,92,50,73.50,76.44,
MDS1,2,30,76,84,92,68,80.00,83.20,
MDS1,3,0,84,15,28,24,37.75,39.26,
MDS1,3,15,36,88,68,70,65.50,68.12,
MDS1,3,30,76,74,74,78,75.50,78.52,
MDS2,1,0,20,10,10,20,15.00,15.60,
MDS2,1,15,35,20,15,25,23.75,24.70,
MDS2,1,30,50,15,60,45,42.50,44.20,
MDS2,2,0,55,60,60,65,60.00,62.40,
MDS2,2,15,50,74,70,55,62.25,64.74,
MDS2,2,30,20,55,55,50,45.00,46.80,
MDS2,3,0,50,55,45,60,52.50,54.60,
MDS2,3,15,10,5,5,10,7.50,7.80,
MDS2,3,30,30,10,20,15,18.75,19.50,
